Topic,Count,Name,Representation,Representative_Docs
9,87,9_hari_celaka hari_hari dusta_celaka,"['hari', 'celaka hari', 'hari dusta', 'celaka', 'dusta celaka', 'dusta', 'hari putus', 'hari manusia', 'hari bangkit', 'bangkit']","['celaka hari dusta', 'celaka hari dusta', 'celaka hari dusta']"
10,83,10_dosa_dosa dosa_pikul_ampun,"['dosa', 'dosa dosa', 'pikul', 'ampun', 'pikul dosa', 'dosa besar', 'buat dosa', 'salah', 'buat', 'atas dosa']","['jauh dosa dosa besar dosa dosa larang niscaya hapus salah salah masuk tempat mulia', 'kufur iman ikut jalan pikul dosa dosa padahal sedikit pikul dosa dosa sendiri benar benar dusta', 'benar benar pikul dosa dosa dosa dosa samping dosa dosa hari kiamat pasti tanya bohong selalu ada adakan']"
11,80,11_malaikat_malaikat malaikat_sujud_turun malaikat,"['malaikat', 'malaikat malaikat', 'sujud', 'turun malaikat', 'malaikat sujud', 'turun', 'nama', 'lihat malaikat', 'sujud iblis', 'sujud adam']","['rasul datang depan belakang jangan sembah jawab kalau hendak turun malaikat malaikat ingkar rasul', 'tetap turun malaikat malaikat jangan takut sedih hati gembira surga janji kepada', 'cipta malaikat malaikat upa perempuan saksi']"
12,74,12_jangan_bukankah_gesa_jangan sekali,"['jangan', 'bukankah', 'gesa', 'jangan sekali', 'sekali kali', 'tidak', 'kali', 'sekali', 'daya', 'tipu']","['jangan sekali kali ira lengah zalim buat tangguh sampai hari mata belalak', 'ingin mau kufur bagaimana kufur sama jangan jadi siapa teman setia pindah jalan paling tawan bunuh mana temu jangan jadi orang teman setia jangan tolong', 'jangan sekali kali ira gembira kerja suka puji atas buat laku jangan sekali kali ira lolos azab dapat azab pedih']"
13,71,13_hamba_hamba hamba_hamba pilih_rezeki,"['hamba', 'hamba hamba', 'hamba pilih', 'rezeki', 'pilih', 'hendak hamba', 'zalim hamba', 'lapang rezeki', 'maha', 'hamba mukmin']","['hamba hamba pilih', 'hamba hamba pilih', 'hamba hamba pilih']"
14,70,14_golong_tolong_golong besar_masuk,"['golong', 'tolong', 'golong besar', 'masuk', 'tolong tolong', 'masuk saqar', 'besar dahulu', 'golong tangguh', 'masuk golong', 'masuk jahim']","['golong besar dahulu', 'benar benar usir keluar sama benar benar rang tolong kalaupun tolong niscaya paling belakang tolong', 'golong besar dahulu']"
15,68,15_neraka_api neraka_huni neraka_api,"['neraka', 'api neraka', 'huni neraka', 'api', 'huni', 'tempat', 'kekal dalam', 'buruk', 'kekal', 'neraka kekal']","['dusta ayat ayat sombong diri hadap itu huni neraka kekal dalam', 'ingkar dusta ayat ayat huni neraka kekal dalam', 'adapun kufur dusta ayat ayat huni neraka kekal dalam buruk buruk tempat']"
16,63,16_setan_setan setan_setan jadi_teman,"['setan', 'setan setan', 'setan jadi', 'teman', 'setan musuh', 'dua', 'iblis', 'musuh', 'jadi setan', 'janji']","['wahai bapak jangan sembah setan setan durhaka maha murah', 'tidak bawa turun setan setan', 'ikut baca setan setan masa raja sulaiman sulaiman kufur setan setan kufur ajar sihir manusia turun dua malaikat negeri babilonia harut marut padahal dua ajar orang hanya fitnah sebab jangan kufur ajar dua pisah orang istri dapat celaka orang izin ajar celaka beri manfaat benar benar tahu siapa beli niscaya dapat untung akhirat buruk sekali buat jual diri sihir tahu']"
17,62,17_takut_rasa takut_rasa_takut timpa,"['takut', 'rasa takut', 'rasa', 'takut timpa', 'sedih', 'hati', 'takut tuhan', 'tuhan takut', 'takut hari', 'takut besar']","['turun surga benar benar datang tunjuk kepada siapa ikut tunjuk ada rasa takut timpa pun sedih hati', 'takut tuhan sekalipun lihat rasa takut hari kiamat', 'takut']"
18,62,18_jalan_jauh_jalan lurus_lurus,"['jalan', 'jauh', 'jalan lurus', 'lurus', 'lubang', 'sesat', 'sanggup', 'ejek', 'sesat jauh', 'halang']","['kufur halang halang jalan benar benar sesat jauh', 'atas jalan lurus', 'sekira untung mudah oleh jalan berapa jauh niscaya ikut tempat tuju asa jauh sumpah anda sanggup niscaya berangkat sama binasa diri sendiri tahu benar benar bohong']"
19,60,19_kiamat_hari kiamat_hari_jadi kiamat,"['kiamat', 'hari kiamat', 'hari', 'jadi kiamat', 'kiamat datang', 'datang', 'hari jadi', 'selisih', 'tiba', 'diam']","['bahkan hari kiamat hari janji hari kiamat dahsyat pahit', 'putus hari kiamat selalu selisih', 'jadi hari kiamat']"
20,58,20_rusa_buat rusa_sapi_ternak,"['rusa', 'buat rusa', 'sapi', 'ternak', 'buat', 'hewan', 'keburu', 'hewan ternak', 'tujuh', 'ekor']","['buat rusa bumi laku baik', 'wahai yusuf percaya jelas tujuh ekor sapi gemuk makan tujuh kurus tujuh tangkai hijau lain kering tahu', 'raja mimpi lihat tujuh ekor sapi gemuk makan tujuh ekor sapi kurus tujuh tangkai hijau lain kering wahai muka kaum jelas kepada mimpi takwil']"
21,58,21_ri_main_ganjar takwa_urus penting,"['ri', 'main', 'ganjar takwa', 'urus penting', 'qqah', 'penting wahai', 'tanya urus', 'wahai utus', 'betis', 'ganjar']","['samud dusta q ri', 'tanya urus penting wahai utus', 'tanya urus penting wahai utus']"
22,58,22_sekutu_sekutu sekutu_tentara_bala tentara,"['sekutu', 'sekutu sekutu', 'tentara', 'bala tentara', 'bala', 'musuh', 'perang', 'bimbing', 'tenggelam', 'sama']","['hari seru mana sekutu sekutu selalu sangka', 'apakah sekutu sekutu kalau hendak datang sekutu sekutu benar', 'apabila sekutu lihat sekutu sekutu wahai ini sekutu sekutu sembah sekutu sekutu lontar ucap benar benar dusta']"
23,55,23_ingat_beri ingat_orang beri_ingat ingat,"['ingat', 'beri ingat', 'orang beri', 'ingat ingat', 'ingat jelas', 'azab ingat', 'beri', 'dahsyat azab', 'betapa dahsyat', 'orang']","['lain hanya orang beri ingat', 'apabila beri ingat ingat', 'salah orang beri ingat beri ingat dahulu']"
24,50,24_salat_doa_laksana salat_laksana,"['salat', 'doa', 'laksana salat', 'laksana', 'doa tuhan', 'zakat', 'bagi', 'tuhan', 'mohon', 'salat tunai']","['apabila selesai salat zikir baik diri duduk maupun baring apabila rasa aman laksana salat salat wajib waktu tentu atas mukmin', 'laksana salat infak bagi rezeki anugerah', 'benar laksana salat']"
25,49,25_langit_awan_angin_hujan,"['langit', 'awan', 'angin', 'hujan', 'tumpuk', 'terbang', 'langit belah', 'terus', 'barat', 'bangun']","['lihat gumpal gumpal awan jatuh langit awan tumpuk tumpuk', 'tidak lihat arah awan perlahan kumpul jadi tumpuk tumpuk lihat hujan keluar celah celah turun langit gunung gunung timpa siapa hendak maling siapa hendak kilau kilat hampir hampir hilang lihat', 'lihat azab upa awan tuju lembah lembah ini awan turun hujan azab minta segera datang angin kandung azab pedih']"
26,46,26_keluarga_anak_miskin_yatim,"['keluarga', 'anak', 'miskin', 'yatim', 'barang', 'anak yatim', 'kerabat', 'anak anak', 'beri makan', 'barang barang']","['buka barang barang temu barang barang kembali wahai ayah ingin barang barang kembali datang bahan makan keluarga jaga saudara dapat tambah jatah berat beban ekor unta jatah mudah', 'uji anak anak yatim sampai cukup umur meni turut nilai pandai serah harta jangan makan lebih batas patut gesa gesa dewasa siapa mampu hendak tahan diri siapa fakir boleh makan harta turut cara baik apabila serah harta hendak adakan saksi saksi cukup awas', 'tanya kepada infak kata harta infak hendak untuk dua tua kerabat anak anak yatim miskin jalan baik kerja maha tahu']"
27,45,27_malam_siang_tanda_waktu malam,"['malam', 'siang', 'tanda', 'waktu malam', 'malam apabila', 'tidur', 'jadi malam', 'malam siang', 'malam hari', 'puluh']","['tanda tanda tidur waktu malam siang usaha cari bagi karunia benar benar dapat tanda tanda kaum dengar', 'masuk malam siang masuk siang malam maha dengar maha lihat', 'masuk malam siang masuk siang malam maha tahu segala isi hati']"
28,44,28_lihat_lihat lihat_kelak lihat_lihat kelak,"['lihat', 'lihat lihat', 'kelak lihat', 'lihat kelak', 'jahim', 'perhati', 'tengah', 'tengah jahim', 'tengok', 'gaib lihat']","['lihat kelak lihat', 'lihat kelak lihat', 'kelak lihat lihat']"
29,41,29_buah_pohon_buah buah_kurma,"['buah', 'pohon', 'buah buah', 'kurma', 'tumbuh', 'pohon kurma', 'akar', 'daun', 'susun', 'biji']","['buah buah dekat', 'buah buah', 'pada dapat buah buah pohon kurma kelopak mayang']"
30,40,30_ikan_kapal_ikan kepada_laut,"['ikan', 'kapal', 'ikan kepada', 'laut', 'tanda', 'layar', 'tanda tanda', 'kepada', 'kapal penuh', 'teguh ikan']","['ambil janji angkat gunung atas pegang teguh ikan kepada ingat ada dalam takwa', 'tanya negeri letak dekat laut langgar atur hari sabat datang ikan ikan muncul muka air padahal hari hari sabat ikan ikan datang demikian uji selalu laku fasik', 'tanda tanda kapal kapal layar laut gunung gunung']"
31,40,31_gunung_gunung gunung_rumah_pancang,"['gunung', 'gunung gunung', 'rumah', 'pancang', 'jadi', 'bumi', 'gunung jadi', 'buih', 'air', 'rumah rumah']","['gunung gunung tegak', 'gunung gunung bulu', 'gunung']"
32,39,32_nikmat tuhan_tuhan mana_mana dusta_dusta nikmat,"['nikmat tuhan', 'tuhan mana', 'mana dusta', 'dusta nikmat', 'mana', 'nikmat', 'dusta', 'tuhan', 'tabir terus', 'tuhan sembunyi']","['nikmat tuhan mana dusta', 'nikmat tuhan mana dusta', 'nikmat tuhan mana dusta']"
33,38,33_burung_mukmin_burung burung_sarang,"['burung', 'mukmin', 'burung burung', 'sarang', 'masing', 'semut', 'bagi mukmin', 'gembira mukmin', 'kubur', 'mukmin tunjuk']","['tidak perhati burung burung dapat terbang angkasa mudah ada tahan benar benar dapat tanda tanda kaum iman', 'kirim ekor burung gagak gali tanah lihat kepada cara kubur mayat saudara celaka mampu buat burung gagak sehingga kubur mayat saudara jadi masuk sesal', 'orang rasul bani israil datang kepada tanda tuhan buat bagi tanah bentuk burung tiup ekor burung izin sembuh buta sejak lahir sakit buras hidup mati izin beri tahu kepada makan simpan rumah benar benar dapat tanda bagi mukmin']"
34,37,34_janji_janji benar_kapan janji_kapan,"['janji', 'janji benar', 'kapan janji', 'kapan', 'benar janji', 'penuh janji', 'ingkar janji', 'penuh', 'benar', 'tepat janji']","['kapan janji benar', 'kapan janji benar', 'kapan janji benar']"
35,37,35_buruk_jahanam_buruk tempat_tempat,"['buruk', 'jahanam', 'buruk tempat', 'tempat', 'buruk buruk', 'dalam buruk', 'pintu', 'jahanam buruk', 'paling', 'pintu jahanam']","['masuk pintu pintu jahanam kekal dalam buruk buruk tempat sombong diri', 'jahanam masuk dalam buruk buruk tempat tinggal', 'masuk pintu pintu jahanam kekal dalam buruk buruk tempat sombong']"
36,37,36_saksi_saksi atas_saksi benar_beri saksi,"['saksi', 'saksi atas', 'saksi benar', 'beri saksi', 'saksi saksi', 'saksi bawa', 'atas', 'empat', 'orang saksi', 'atas diri']","['tuduh istri zina padahal saksi saksi diri sendiri saksi masing masing empat kali sumpah atas masuk benar', 'datang bawa empat saksi bawa saksi saksi dusta pandang', 'saksi saksi']"
37,37,37_kerja_usaha_minta pertanggungjawaban_pertanggungjawaban,"['kerja', 'usaha', 'minta pertanggungjawaban', 'pertanggungjawaban', 'bagi usaha', 'tahu kerja', 'bantah', 'atas kerja', 'baik kerja', 'bagi sulit']","['kerja', 'umat bagi usaha bagi usaha minta pertanggungjawaban kerja', 'umat bagi usaha bagi usaha minta pertanggungjawaban kerja']"
38,36,38_sungai_sungai sungai_alir bawah_surga,"['sungai', 'sungai sungai', 'alir bawah', 'surga', 'alir', 'bawah', 'bawah sungai', 'surga alir', 'sungai kekal', 'kekal dalam']","['balas ampun surga surga alir bawah sungai sungai kekal dalam baik baik pahala kerja', 'iman amal saleh masuk surga alir bawah sungai sungai kekal dalam lama janji benar siapa benar kata', 'masuk iman amal saleh surga surga alir bawah sungai sungai laku hendak']"
39,36,39_manusia_cipta manusia_cipta_jin,"['manusia', 'cipta manusia', 'cipta', 'jin', 'ulang', 'manusia jin', 'guna', 'benar cipta', 'jin manusia', 'manusia qur']","['benar benar cipta kalang jin manusia jahanam hati guna paham mata guna lihat telinga guna dengar seperti hewan ternak bahkan sesat lengah', 'jelas segala umpama bagai macam cara ulang ulang manusia qur manusia paling ban', 'jelas ulang ulang segala umpama bagai macam cara manusia qur banyak manusia ingin kufur']"
40,36,40_sihir_mukjizat_fir aun_fir,"['sihir', 'mukjizat', 'fir aun', 'fir', 'aun', 'kena sihir', 'kepada sihir', 'sihir pandai', 'kena', 'pandai']","['muka kaum fir aun benar benar sihir pandai', 'datang kepada sihir pandai', 'anugerah musa sembilan mukjizat nyata tanya bani israil datang fir aun kepada benar benar yakin wahai musa kena sihir']"
41,36,41_buruk_laku_jahat_daya,"['buruk', 'laku', 'jahat', 'daya', 'tipu daya', 'jadi kera', 'kera', 'tipu', 'laku tipu', 'hina']","['buat baik buat baik diri sendiri buat jahat diri sendiri apabila datang dua suram wajah pasuk masjid bagaimana masuk pertama kali binasa kuasa', 'laku tipu daya', 'kata berita kepada sesuatu buruk balas sisi laknat murka jadi kera babi sembah tagut buruk tempat sesat jalan lurus']"
42,35,42_sembah_sembah sembah_kaum sembah_suci,"['sembah', 'sembah sembah', 'kaum sembah', 'suci', 'kaum', 'usir', 'wahai kaum', 'sembah pernah', 'tanah suci', 'ayah kaum']","['sembah', 'sembah sembah', 'sembah sembah']"
43,35,43_dengar_tuli_dapat dengar_suara,"['dengar', 'tuli', 'dapat dengar', 'suara', 'bisik', 'buta', 'telinga', 'tutup', 'binasa suara', 'tuli dengar']","['tidak jalan bumi hati dapat paham telinga dapat dengar bukan mata buta buta hati ada dada', 'sanggup jadi mati tuli dengar seru apabila paling belakang', 'jadi mati tuli dapat dengar seru apabila paling belakang']"
44,35,44_anugerah_tuhan_rahmat_karunia,"['anugerah', 'tuhan', 'rahmat', 'karunia', 'tuhan anugerah', 'anugerah kepada', 'dapat bukti', 'dapat', 'nyata tuhan', 'tuhan beri']","['wahai kaum jelas dapat bukti nyata tuhan beri kepada rahmat siapa tolong durhaka pernah tambah untuk rugi', 'wahai kaum jelas dapat bukti nyata tuhan anugerah rezeki baik ingin beda sikap dengan sendiri larang maksud baik sesuai sanggup ada mampu bagi tawakal', 'senyum tertawa kata semut doa tuhan anugerah tetap syukur nikmat anugerah kepada dua tua tetap kerja kebaji rida masuk rahmat golong hamba hamba saleh']"
45,34,45_rusa_buat rusa_siksa_rusa bumi,"['rusa', 'buat rusa', 'siksa', 'rusa bumi', 'bumi', 'buat', 'anda', 'bumi buat', 'negeri', 'bunuh']","['langgar janji teguh putus perintah sambung buat rusa bumi itu dapat laknat bagi tempat diam buruk', 'langgar janji teguh putus perintah sambung buat rusa bumi itu rugi', 'cari anugerah kepada negeri akhirat jangan lupa bagi dunia berbuatbaiklah bagaimana buat baik kepada jangan buat rusa bumi suka buat rusa']"
46,34,46_minum_air_gelas_mabuk,"['minum', 'air', 'gelas', 'mabuk', 'air panas', 'beri minum', 'panas', 'minum air', 'campur', 'minum gelas']","['sampai sumber air negeri madyan jumpa sana kumpul sedang beri minum jumpa belakang ada perempuan sedang halau maksud dua jawab beri minum gembala pulang ayah tua lanjut usia', 'minum campur air panas', 'beri minum sumber mata air panas']"
47,34,47_belenggu_tangan_rukuk_ikat,"['belenggu', 'tangan', 'rukuk', 'ikat', 'leher', 'lembar', 'tangan tiba', 'kasur', 'tarik tangan', 'dua batas']","['tarik tangan tiba tiba putih lihat', 'dua batas pisah atas tempat tinggi saling kenal tanda masing masing seru huni surga sal mun alaikum masuk padahal', 'dua jalan dua duduk negeri dua minta jamu duduk mau jamu dua dua dapat dinding hampir roboh negeri tegak mau niscaya minta imbal']"
48,33,48_amal saleh_amal_iman amal_saleh,"['amal saleh', 'amal', 'iman amal', 'saleh', 'iman', 'surga', 'adapun iman', 'adapun', 'tobat iman', 'saleh ampun']","['tobat iman amal saleh masuk surga zalim sedikit', 'adapun iman amal saleh itu huni surga kekal dalam', 'iman amal saleh masuk saleh']"
49,30,49_muslim_islam_ada muslim_agama,"['muslim', 'islam', 'ada muslim', 'agama', 'iman', 'mati ada', 'kata', 'saksi', 'ayat', 'golong muslim']","['debat kata serah diri ikut kata beri kitab umi sudah masuk islam masuk islam dapat tunjuk paling wajib hanya sampai maha lihat hamba hamba', 'juang benar benar pilih jadi sulit untuk agama agama nenek moyang ibrahim nama muslim sejak rasul saksi atas diri saksi atas segenap manusia tegak salat tunai zakat pegang teguh lindung baik baik lindung baik baik tolong', 'ada muslim ada simpang benar siapa islam pilih jalan benar']"
50,29,50_sempurna_balas_beri balas_balas buat,"['sempurna', 'balas', 'beri balas', 'balas buat', 'baik demikian', 'demikian beri', 'baik', 'cipta sempurna', 'sempurna sesuai', 'balas sempurna']","['demikian beri balas buat baik', 'demikian beri balas buat baik', 'demikian beri balas buat baik']"
51,28,51_bukti_bukti bukti_bukti nyata_bawa bukti,"['bukti', 'bukti bukti', 'bukti nyata', 'bawa bukti', 'nyata', 'bawa', 'rasul', 'rasul datang', 'datang bawa', 'datang']","['bukankah rasul rasul datang kepada bawa bukti bukti nyata jawab benar mohon doa kafir sia sia belaka', 'utus telah rasul kaum rasul rasul datang bawa bukti bukti nyata mau iman dusta demikian kunci hati lampau batas', 'rasul rasul datang bawa bukti bukti nyata ingkar azab maha kuat maha keras hukum']"
52,27,52_kebun_kebun kebun_taman_anggur,"['kebun', 'kebun kebun', 'taman', 'anggur', 'buah', 'mata air', 'sungai', 'dua kebun', 'kurma', 'mata']","['kebun kebun rindang', 'kebun kebun mata air', 'kebun kebun mata air']"
53,27,53_surga_ada surga_penuh nikmat_surga penuh,"['surga', 'ada surga', 'penuh nikmat', 'surga penuh', 'surga nikmat', 'surga dekat', 'huni', 'nikmat', 'masuk surga', 'huni surga']","['masuk surga', 'masuk surga penuh nikmat', 'surga surga penuh nikmat']"
54,26,54_api_nyala_panas_pasuk api,"['api', 'nyala', 'panas', 'pasuk api', 'lihat api', 'api cipta', 'bakar', 'kayu', 'api nyala', 'pasuk']","['musa istri lihat api bawa kabar tentang kepada bawa suluh api hangat badan', 'api nyala', 'musa selesai waktu tentu berangkat istri lihat api lereng gunung keluarga tunggu lihat api mudah mudah bawa berita kepada api percik api hangat badan']"
55,26,55_alam_semesta_semesta alam_imbal,"['alam', 'semesta', 'semesta alam', 'imbal', 'alam minta', 'minta imbal', 'atas imbal', 'imbal kepada', 'imbal lain', 'kepada atas']","['minta imbal kepada atas imbal lain semesta alam', 'minta imbal kepada atas imbal lain semesta alam', 'minta imbal kepada atas imbal lain semesta alam']"
56,26,56_moyang_nenek moyang_nenek_dapat nenek,"['moyang', 'nenek moyang', 'nenek', 'dapat nenek', 'dahulu', 'umat', 'umat dahulu', 'moyang dahulu', 'umat umat', 'moyang apakah']","['nenek moyang dahulu', 'nenek moyang dahulu', 'nenek moyang dahulu']"
57,25,57_gembira_kabar gembira_senang_kabar,"['gembira', 'kabar gembira', 'senang', 'kabar', 'gembira kepada', 'beri kabar', 'senang senang', 'dapat nikmat', 'takut beri', 'senang beri']","['simpan rasa takut jangan takut beri kabar gembira kepada orang anak beril', 'beri kabar gembira kepada orang anak santun', 'benar beri kabar gembira kepada padahal usia lanjut beri kabar gembira']"
58,25,58_azab_timpa_hak urus_besar azab,"['azab', 'timpa', 'hak urus', 'besar azab', 'hari pedih', 'tambah kepada', 'pedih', 'zalim azab', 'timpa azab', 'kepada azab']","['kufur salah satu tiga padahal ada maha esa henti kata kufur timpa azab pedih', 'azab', 'azab halang halang masjidilharam bukan hak urus hak urus hanya takwa banyak tahu']"
59,24,59_ajar_ambil ajar_ajar benar_ambil,"['ajar', 'ambil ajar', 'ajar benar', 'ambil', 'mau ambil', 'qur ajar', 'ajar mau', 'mudah qur', 'benar mudah', 'mau']","['benar benar mudah qur ajar mau ambil ajar', 'benar benar mudah qur ajar mau ambil ajar', 'benar benar mudah qur ajar mau ambil ajar']"
60,23,60_tahu sekali_kelak tahu_tahu_kali kelak,"['tahu sekali', 'kelak tahu', 'tahu', 'kali kelak', 'balas tahu', 'hari balas', 'kelak', 'sekali kali', 'sekali', 'hitung']","['sekali kali kelak tahu', 'sekali kali kelak tahu', 'sekali kali kelak tahu']"
61,22,61_jihad_harta jiwa_jihad jalan_jiwa,"['jihad', 'harta jiwa', 'jihad jalan', 'jiwa', 'jihad harta', 'hijrah', 'iman hijrah', 'harta', 'jiwa jalan', 'hijrah jihad']","['iman hijrah jihad harta jiwa jalan beri tempat diam beri tolong bagi lindung bagi lain iman hijrah wajib sedikit atas lindung sehingga hijrah minta tolong kepada agama wajib atas beri tolong hadap kaum ikat janji maha lihat kerja', 'iman hijrah jihad jalan harta jiwa agung derajat hadap itu untung', 'sama mukmin duduk uzur jihad jalan harta jiwa lebih derajat jihad harta jiwa atas duduk masing masing janji baik lebih jihad atas duduk pahala besar']"
62,22,62_wajah_seri_wajah wajah_dada,"['wajah', 'seri', 'wajah wajah', 'dada', 'seri seri', 'sembunyi dada', 'kulit', 'dada nyata', 'wajah seri', 'tutup debu']","['hari ada wajah wajah tutup debu', 'hari ada wajah wajah seri seri', 'wajah wajah hari seri seri']"
63,22,63_anak_anak anak_harta_harta anak,"['anak', 'anak anak', 'harta', 'harta anak', 'benda anak', 'cucu', 'nikmat bagi', 'harta benda', 'anak cucu', 'benda']","['harta anak anak hanya coba sisi allah pahala besar', 'harta benda anak anak guna sedikit itu huni neraka kekal dalam', 'hari guna harta anak anak']"
64,22,64_matahari_bulan_edar_siang,"['matahari', 'bulan', 'edar', 'siang', 'matahari bulan', 'malam', 'masing', 'masing edar', 'malam siang', 'terbit']","['bagi tanda tanda malam siang matahari bulan jangan sujud matahari jangan bulan sujud cipta sembah', 'tidak perhati masuk malam siang masuk siang malam tunduk matahari bulan masing masing edar waktu tentu maha teliti kerja', 'dia cipta malam siang matahari bulan masing masing edar garis edar']"
65,21,65_nabi_orang nabi_nabi cerita_cerita,"['nabi', 'orang nabi', 'nabi cerita', 'cerita', 'nabi nabi', 'orang', 'bunuh nabi', 'betapa nabi', 'kata bunuh', 'nabi iman']","['benar benar dengar kata miskin kaya catat kata bunuh nabi nabi laku hak rasa azab bakar', 'apabila kata rim turun jawab iman turun ingkar telah padahal benar benar ada kata bunuh nabi nabi mukmin', 'nabi bicara rahasia peristiwa salah orang istri cerita memberitahukannya kepada memberitahukan bagi sembunyi bagi lain memberitahukan kepada tanya siapa memberitahumu nabi jawab memberitahuku maha tahu maha teliti']"
66,20,66_takwa taat_taat kepada_kepada takwa_taat,"['takwa taat', 'taat kepada', 'kepada takwa', 'taat', 'takwa', 'sumpah', 'kasihan', 'kepada', 'rida', 'pantas']","['takwa taat kepada', 'takwa taat kepada', 'takwa taat kepada']"
67,20,67_bintang_bintang bintang_gugus_gugus bintang,"['bintang', 'bintang bintang', 'gugus', 'gugus bintang', 'hias', 'langit', 'kejar bintang', 'langit dunia', 'hias langit', 'bintang langit']","['hias langit dunia hias bintang bintang', 'sumpah bintang bintang', 'apabila bintang bintang jatuh']"
68,20,68_maha sayang_sayang_kam maha_maha kam,"['maha sayang', 'sayang', 'kam maha', 'maha kam', 'kam', 'maha', 'sayang tobat', 'tobat', 'baik maha', 'aku maha']","['mohon ampun maha kam maha sayang', 'tobat baik maha kam maha sayang', 'tobat baik maha kam maha sayang']"
